fiscalDateEnding,rotacion_inventario,rotacion_inventario_YoY_growth%,rotacion_cartera,rotacion_cartera_YoY_growth%,razon_circulante,razon_circulante_YoY_growth%,prueba_acida,prueba_acida_YoY_growth%,razon_endeudamiento,razon_endeudamiento_YoY_growth%,razon_solvencia,razon_solvencia_YoY_growth%
2025-12-31,1.9249108316125398,-17.22904445261138,5.217726076720676,-0.7221595156782452,1.027676163027011,-7.477336697471565,0.7654916306396187,-11.343634271407284,1.4429755714706172,-5.022995558183646,0.5906631193213192,-2.056097333449762
2024-12-31,2.3255873015873014,-6.725154209682435,5.255680473372781,-1.9084472060651454,1.1107291190556627,-3.903607649062188,0.863436736153892,-5.559438902787657,1.5192894111064486,5.773819605841931,0.6030626748989473,2.2918445099589126
2023-12-31,2.493263089188307,4.6884637892024905,5.357933811501195,20.230319976923006,1.1558489261483946,16.646800334453495,0.9142647249470637,13.30742278127314,1.4363567627301015,-0.23156908068559778,0.5895510808197758,-0.09504727888296657
2022-12-31,2.38160251755023,0.4003915771805488,4.456391542939914,-7.86124673728499,0.9908963836421634,-26.50866716968057,0.8068886419841583,-27.869335621490464,1.4396906411124422,-1.3193015166754818,0.5901119661859984,-0.5407659046779383
2021-12-31,2.372104809690335,-23.38035542766857,4.836609336609337,-17.84077535766724,1.3483173395834254,11.821630288499508,1.1186485649847433,13.467007547553758,1.4589384380530375,-17.2890029358514,0.5933204408355217,-7.031084092345422
2020-12-31,3.095948595077325,-1.0242446351658587,5.8868731510852905,2.5121850040010987,1.205775068834867,-4.2176644971127875,0.9858800272986139,-2.200614272170382,1.7638989854293752,6.76169286918018,0.6381922764646014,2.4464327042436196
2019-12-31,3.1279868323968443,0.24429396799455094,5.742608208824661,-2.9019776264971298,1.2588699810922033,-14.594943823975177,1.0080636191747303,-15.900446581111222,1.6521834171276757,5.921829510324761,0.6229521708257253,2.232812961608097
2018-12-31,3.120363971435153,3.7034364420712396,5.914238074525156,-2.5678594772961705,1.4739993595901377,4.46416274555337,1.1986551392891451,6.643743228950346,1.5598138974427633,-3.4017849251550416,0.6093466009388444,-1.3289188438868043
2017-12-31,3.0089301555384704,11.835425511167568,6.070109968637103,-5.29226809957147,1.4110095949176409,-42.96468012424649,1.1239807446703998,-48.06271650409437,1.6147440159574469,60.625856922858446,0.6175533842329771,23.186153808122953
2016-12-31,2.690498240414892,1.4246376523416566,6.409307716310792,-0.673748972119407,2.473922471183475,14.007518365600195,2.164111538022597,15.128559628646194,1.0052827402084694,14.880690907361908,0.5013172058240326,7.42074452095215
2015-12-31,2.652706780809263,-6.340067894666356,6.4527832773147935,-1.4776642124475743,2.1699643204670775,-8.223508322374201,1.8797347460986773,-7.772515293513566,0.8750667603654252,-0.536678232585698,0.4666856556056097,-0.8649458284809912
2014-12-31,2.832274934628315,-2.558941522600731,6.549563838223632,5.721378368005709,2.3644010364759818,7.621388500577646,2.038150289017341,7.831417648252042,0.8797883931643538,11.122240967081511,0.47075745255373663,6.53506920891598
2013-12-31,2.906654524165745,-7.531398691005707,6.195117713491443,0.8651127189156239,2.1969620253164557,15.583946262095253,1.890126582278481,18.739160402994493,0.7917302472553441,-9.193565208373983,0.44188027102190935,-5.13111012244009
2012-12-31,3.1433962264150943,-9.96701820068948,6.141982640475103,-3.8750909988691964,1.9007501442585113,-20.17451295993648,1.5918308465913775,-24.40038008453725,0.8718878227871533,-12.015845900766019,0.4657799533569021,-6.419105757563498
2011-12-31,3.4913830060876276,-1.920972280030938,6.3895848685826575,0.7402034097091971,2.3811319100434,16.129696299747035,2.105606944018237,15.863873243790119,0.9909600560616678,21.020373873627964,0.4977297525606279,10.557908386775228
2010-12-31,3.559765107027846,-1.2752301861849606,6.342636457260556,-0.7826267873639436,2.050407420249653,12.686587717673332,1.8173110263522885,14.932586111177146,0.8188373778256951,-6.056730463450215,0.45019823531698216,-3.3300010970143226
2009-12-31,3.605746677091478,-1.0275032883053403,6.392667183062225,-3.914944053036677,1.8195665178776863,10.369145157475971,1.581197367815563,12.43351240815045,0.8716296354866767,-12.610911454507878,0.4657062588453983,-6.737931060398431
2008-12-31,3.643180476284196,2.6087588934867836,6.653133642957783,-1.1422420643739173,1.6486188375215807,9.212395658425761,1.4063399194321888,12.331648809246344,0.9974124344287361,14.80512620438001,0.49935227058601844,7.412152817910292
